date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:58:03	1600/1600	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22rzpdko%22	https://complete.js-pokemon.com/robots.txt		(from )
15:58:07	135162/135162	---MCZ	200	added ('OK')	text/html	etag:W/%22hcesv7%22	https://complete.js-pokemon.com/?generation	D:web/pokedex/complete.js-pokemon.com/index9cb9.html	(from )
15:58:07	1571/1571	---M--	200	added ('OK')	image/png	etag:%223a387408ecc6cc283f724b39ca5fffb4%22	https://complete.js-pokemon.com/favicon.png	D:web/pokedex/complete.js-pokemon.com/favicon.png	(from https://complete.js-pokemon.com/?generation)
15:58:07	280/280	---M--	200	added ('OK')	text/css	etag:%22af97c0fedd3c49a2e0e709192ba7d9a8%22	https://complete.js-pokemon.com/_app/immutable/assets/_layout-7403b5bc.css	D:web/pokedex/complete.js-pokemon.com/_app/immutable/assets/_layout-7403b5bc.css	(from https://complete.js-pokemon.com/?generation)
15:58:08	1006/1006	---MCZ	200	added ('OK')	text/css	etag:W/%220f1bc85cc10607c8b8dc7f3ce899dd3f%22	https://complete.js-pokemon.com/_app/immutable/assets/_page-b24da37e.css	D:web/pokedex/complete.js-pokemon.com/_app/immutable/assets/_page-b24da37e.css	(from https://complete.js-pokemon.com/?generation)
15:58:08	573/573	---M--	200	added ('OK')	text/css	etag:%22a2875303c9d9df42bd8eef45292e291d%22	https://complete.js-pokemon.com/_app/immutable/assets/index-298311df.css	D:web/pokedex/complete.js-pokemon.com/_app/immutable/assets/index-298311df.css	(from https://complete.js-pokemon.com/?generation)
15:58:08	3930/3930	---MCZ	200	added ('OK')	text/html	etag:W/%22sn2ep5%22	https://complete.js-pokemon.com/my-monsters	D:web/pokedex/complete.js-pokemon.com/my-monsters.html	(from https://complete.js-pokemon.com/?generation)
15:58:08	135162/135162	---MCZ	200	added ('OK')	text/html	etag:W/%22hcesv7%22	https://complete.js-pokemon.com/	D:web/pokedex/complete.js-pokemon.com/index.html	(from https://complete.js-pokemon.com/?generation)
15:58:09	6871/6871	---MCZ	200	added ('OK')	text/html	etag:W/%2215dga61%22	https://complete.js-pokemon.com/monsters/1	D:web/pokedex/complete.js-pokemon.com/monsters/1.html	(from https://complete.js-pokemon.com/?generation)
15:58:09	839741/839741	---MCZ	200	added ('OK')	text/html	etag:W/%22jsn7yj%22	https://complete.js-pokemon.com/?generation=all	D:web/pokedex/complete.js-pokemon.com/index891b.html	(from https://complete.js-pokemon.com/?generation)
15:58:09	543/543	---M--	200	added ('OK')	image/png	date:Thu,%2020%20Jun%202024%2013:58:10%20GMT	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/1.png	D:web/pokedex/raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/1.png	(from https://complete.js-pokemon.com/?generation)
15:58:09	89385/89385	---MCZ	200	added ('OK')	text/html	etag:W/%2218jhtuw%22	https://complete.js-pokemon.com/?generation=2	D:web/pokedex/complete.js-pokemon.com/indexf153.html	(from https://complete.js-pokemon.com/?generation)
15:58:09	135162/135162	---MCZ	200	added ('OK')	text/html	etag:W/%22hcesv7%22	https://complete.js-pokemon.com/?generation=1	D:web/pokedex/complete.js-pokemon.com/index72de.html	(from https://complete.js-pokemon.com/?generation)
15:58:09	6863/6863	---MCZ	200	added ('OK')	text/html	etag:W/%221olqddh%22	https://complete.js-pokemon.com/monsters/2	D:web/pokedex/complete.js-pokemon.com/monsters/2.html	(from https://complete.js-pokemon.com/?generation)
15:58:09	870/870	---M--	200	added ('OK')	image/png	date:Thu,%2020%20Jun%202024%2013:58:10%20GMT	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/2.png	D:web/pokedex/raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/2.png	(from https://complete.js-pokemon.com/?generation)
15:58:10	6877/6877	---MCZ	200	added ('OK')	text/html	etag:W/%221iitftr%22	https://complete.js-pokemon.com/monsters/3	D:web/pokedex/complete.js-pokemon.com/monsters/3.html	(from https://complete.js-pokemon.com/?generation)
15:58:10	1531/1531	---M--	200	added ('OK')	image/png	date:Thu,%2020%20Jun%202024%2013:58:11%20GMT	https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/3.png	D:web/pokedex/raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/3.png	(from https://complete.js-pokemon.com/?generation)
15:58:10	101856/101856	---MCZ	200	added ('OK')	text/html	etag:W/%221p3iym6%22	https://complete.js-pokemon.com/?generation=4	D:web/pokedex/complete.js-pokemon.com/index99c4.html	(from https://complete.js-pokemon.com/?generation)
15:58:10	126475/126475	---MCZ	200	added ('OK')	text/html	etag:W/%22gek43y%22	https://complete.js-pokemon.com/?generation=3	D:web/pokedex/complete.js-pokemon.com/indexe51a.html	(from https://complete.js-pokemon.com/?generation)
15:58:10	6859/6859	---MCZ	200	added ('OK')	text/html	etag:W/%228wqonn%22	https://complete.js-pokemon.com/monsters/4	D:web/pokedex/complete.js-pokemon.com/monsters/4.html	(from https://complete.js-pokemon.com/?generation)
